행정기관명,동명,연령,성별구분,인구수
부산광역시 해운대구,우제1동,0세 - 9세,남,596
부산광역시 해운대구,우제1동,0세 - 9세,여,640
부산광역시 해운대구,우제1동,10세 - 19세,남,820
부산광역시 해운대구,우제1동,10세 - 19세,여,773
부산광역시 해운대구,우제1동,20세 - 29세,남,1285
부산광역시 해운대구,우제1동,20세 - 29세,여,1343
부산광역시 해운대구,우제1동,30세 - 39세,남,1374
부산광역시 해운대구,우제1동,30세 - 39세,여,1394
부산광역시 해운대구,우제1동,40세 - 49세,남,1566
부산광역시 해운대구,우제1동,40세 - 49세,여,1716
부산광역시 해운대구,우제1동,50세 - 59세,남,1778
부산광역시 해운대구,우제1동,50세 - 59세,여,1980
부산광역시 해운대구,우제1동,60세 - 69세,남,1677
부산광역시 해운대구,우제1동,60세 - 69세,여,1994
부산광역시 해운대구,우제1동,70세 - 79세,남,1017
부산광역시 해운대구,우제1동,70세 - 79세,여,1183
부산광역시 해운대구,우제1동,80세 - 89세,남,382
부산광역시 해운대구,우제1동,80세 - 89세,여,535
부산광역시 해운대구,우제1동,90세 - 99세,남,20
부산광역시 해운대구,우제1동,90세 - 99세,여,94
부산광역시 해운대구,우제1동,100세 - 109세,남,0
부산광역시 해운대구,우제1동,100세 - 109세,여,4
부산광역시 해운대구,우제1동,110세 이상,남,0
부산광역시 해운대구,우제1동,110세 이상,여,0
부산광역시 해운대구,우제2동,0세 - 9세,남,1302
부산광역시 해운대구,우제2동,0세 - 9세,여,1225
부산광역시 해운대구,우제2동,10세 - 19세,남,1604
부산광역시 해운대구,우제2동,10세 - 19세,여,1502
부산광역시 해운대구,우제2동,20세 - 29세,남,1569
부산광역시 해운대구,우제2동,20세 - 29세,여,1481
부산광역시 해운대구,우제2동,30세 - 39세,남,1544
부산광역시 해운대구,우제2동,30세 - 39세,여,1864
부산광역시 해운대구,우제2동,40세 - 49세,남,2322
부산광역시 해운대구,우제2동,40세 - 49세,여,2756
부산광역시 해운대구,우제2동,50세 - 59세,남,2495
부산광역시 해운대구,우제2동,50세 - 59세,여,2828
부산광역시 해운대구,우제2동,60세 - 69세,남,1986
부산광역시 해운대구,우제2동,60세 - 69세,여,2266
부산광역시 해운대구,우제2동,70세 - 79세,남,1018
부산광역시 해운대구,우제2동,70세 - 79세,여,1214
부산광역시 해운대구,우제2동,80세 - 89세,남,407
부산광역시 해운대구,우제2동,80세 - 89세,여,628
부산광역시 해운대구,우제2동,90세 - 99세,남,26
부산광역시 해운대구,우제2동,90세 - 99세,여,113
부산광역시 해운대구,우제2동,100세 - 109세,남,1
부산광역시 해운대구,우제2동,100세 - 109세,여,4
부산광역시 해운대구,우제2동,110세 이상,남,0
부산광역시 해운대구,우제2동,110세 이상,여,0
부산광역시 해운대구,우제3동,0세 - 9세,남,1370
부산광역시 해운대구,우제3동,0세 - 9세,여,1269
부산광역시 해운대구,우제3동,10세 - 19세,남,1625
부산광역시 해운대구,우제3동,10세 - 19세,여,1563
부산광역시 해운대구,우제3동,20세 - 29세,남,1276
부산광역시 해운대구,우제3동,20세 - 29세,여,1155
부산광역시 해운대구,우제3동,30세 - 39세,남,1253
부산광역시 해운대구,우제3동,30세 - 39세,여,1689
부산광역시 해운대구,우제3동,40세 - 49세,남,2314
부산광역시 해운대구,우제3동,40세 - 49세,여,2704
부산광역시 해운대구,우제3동,50세 - 59세,남,2120
부산광역시 해운대구,우제3동,50세 - 59세,여,2534
부산광역시 해운대구,우제3동,60세 - 69세,남,1959
부산광역시 해운대구,우제3동,60세 - 69세,여,2207
부산광역시 해운대구,우제3동,70세 - 79세,남,964
부산광역시 해운대구,우제3동,70세 - 79세,여,1079
부산광역시 해운대구,우제3동,80세 - 89세,남,372
부산광역시 해운대구,우제3동,80세 - 89세,여,535
부산광역시 해운대구,우제3동,90세 - 99세,남,35
부산광역시 해운대구,우제3동,90세 - 99세,여,101
부산광역시 해운대구,우제3동,100세 - 109세,남,2
부산광역시 해운대구,우제3동,100세 - 109세,여,3
부산광역시 해운대구,우제3동,110세 이상,남,0
부산광역시 해운대구,우제3동,110세 이상,여,0
부산광역시 해운대구,중제1동,0세 - 9세,남,1072
부산광역시 해운대구,중제1동,0세 - 9세,여,971
부산광역시 해운대구,중제1동,10세 - 19세,남,1313
부산광역시 해운대구,중제1동,10세 - 19세,여,1214
부산광역시 해운대구,중제1동,20세 - 29세,남,1556
부산광역시 해운대구,중제1동,20세 - 29세,여,1592
부산광역시 해운대구,중제1동,30세 - 39세,남,1591
부산광역시 해운대구,중제1동,30세 - 39세,여,1780
부산광역시 해운대구,중제1동,40세 - 49세,남,2197
부산광역시 해운대구,중제1동,40세 - 49세,여,2493
부산광역시 해운대구,중제1동,50세 - 59세,남,2353
부산광역시 해운대구,중제1동,50세 - 59세,여,2515
부산광역시 해운대구,중제1동,60세 - 69세,남,1710
부산광역시 해운대구,중제1동,60세 - 69세,여,1988
부산광역시 해운대구,중제1동,70세 - 79세,남,900
부산광역시 해운대구,중제1동,70세 - 79세,여,1071
부산광역시 해운대구,중제1동,80세 - 89세,남,357
부산광역시 해운대구,중제1동,80세 - 89세,여,558
부산광역시 해운대구,중제1동,90세 - 99세,남,29
부산광역시 해운대구,중제1동,90세 - 99세,여,76
부산광역시 해운대구,중제1동,100세 - 109세,남,1
부산광역시 해운대구,중제1동,100세 - 109세,여,3
부산광역시 해운대구,중제1동,110세 이상,남,0
