소재지지번주소,위도,경도
부산광역시 해운대구 좌동 1461-7번지 903,35.172331,129.175893
부산광역시 해운대구 송정동 199-17번지 코스마아파트 802호,35.183197,129.202981
부산광역시 해운대구 반송동 210-5,35.23024,129.15741
부산광역시 해운대구 좌동 1460-1,35.17125431,129.1750204
부산광역시 해운대구 좌동 1461-1번지 4층  울트라타워,35.171999,129.175001
부산광역시 해운대구 재송동 1061-6,35.18805,129.126036
부산광역시 해운대구 반여동 1206-39번지 7층  선수촌빌딩,35.202708,129.119933
부산광역시 해운대구 우2동 1229-7,35.174786,129.132343
부산광역시 해운대구 재송1동 100,35.179844,129.127722
부산광역시 해운대구 좌동 1483-3번지 선린빌딩 2층,35.168099,129.17837
부산광역시 해운대구 반여동 1247,35.205769,129.126367
부산광역시 해운대구 반여동 1183-23번지,35.204658,129.115965
부산광역시 해운대구 반송1동 679-1,35.227747,129.147068
부산광역시 해운대구 재송1동 100-12,35.18005,129.127388
부산광역시 해운대구 좌동 1305번지 1호,35.173862,129.178741
부산광역시 해운대구 좌동 1433-2번지 201호 ,35.174164,129.180866
부산광역시 해운대구 좌동 1461-4번지 807호 대하프라자,35.171652,129.174869
부산광역시 해운대구 좌동 1460-4,35.170481,129.175476
부산광역시 해운대구 우동 640-24번지 국제빌딩 12층,35.161491,129.154397
부산광역시 해운대구 우1동 394-13,35.168196,129.157502
부산광역시 해운대구 좌2동 세실로27번길 23 샤인빌딩 10층,35.168875,129.177795
부산광역시 해운대구 반송3동 250-2253,35.220519,129.153272
부산광역시 해운대구 석대동 10-8번지 ,35.224658,129.14542
부산광역시 해운대구 반송2동 233-4,35.228903,129.158391
"부산광역시 해운대구 반여동 1291-832, 5층",35.19504,129.13051
"부산광역시 해운대구 우동 1537, 2~5층",35.16786,129.14497
부산광역시 해운대구 반여동 1237-10,35.205,129.12
"부산광역시 해운대구 재송동 1145-1, 302호",35.19134151,129.1281713
"부산광역시 해운대구 좌동 1473-5, 8층",35.1682089,129.1751364
"부산광역시 해운대구 좌동 1466-2, 5층",35.17164719,129.1764402
