순번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호
1,대한민국만만세병원,병원,"부산광역시 해운대구 해운대로 602, 3~4층층 (우동)",051-741-3131
2,더블유에스치과병원,치과병원,"부산광역시 해운대구 좌동순환로 6, 5층및 6층일부층 (중동)",051-703-7585
3,해운대 한빛요양병원,요양병원(일반요양병원),"부산광역시 해운대구 반여로 156, 한빛요양병원 (반여동)",051-929-2000
4,퀸즈파크여성병원,병원,"부산광역시 해운대구 해운대로 794, 10~11층 (좌동)",051-715-4100
5,이치과병원,치과병원,"부산광역시 해운대구 마린시티3로 23, 벽산이오렌지프라자 520호 (우동)",051-747-2828
6,센텀힐병원,병원,부산광역시 해운대구 해운대로161번길 40 (재송동),051-781-9194
7,해운대푸른바다어린이병원,병원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 3층일부, 11층일부, 12.13층,205호~208호 (중동)",051-714-3501
8,의료법인 해올의료재단 힐마루요양병원,요양병원(일반요양병원),"부산광역시 해운대구 달맞이길117번나길 174 (중동, 아식스신발연구소)",051-715-6000
9,의료법인 인당의료재단 해운대부민병원,종합병원,부산광역시 해운대구 해운대로 584 (우동),051-602-8000
10,밝은마음병원,정신병원,"부산광역시 해운대구 해운대로 575, 2~5층 (우동, 국제빌딩)",051-746-7272
11,센텀이루다요양병원,요양병원(일반요양병원),"부산광역시 해운대구 APEC로 17, 센텀리더스마크, 1.2층일부, 3층, 5~8층 (우동)",051-608-7000
12,세계로치과병원,치과병원,"부산광역시 해운대구 센텀동로 102, 센텀필1 2층 208호~213호호 (재송동)",051-782-2825
13,센텀아동병원,병원,"부산광역시 해운대구 해운대로 407, 6층 (우동, 신세계프라자)",051-743-1588
14,부산노인전문제3병원,요양병원(일반요양병원),부산광역시 해운대구 해운대로469번가길 77 (우동),051-780-5555
15,우정요양병원,요양병원(일반요양병원),"부산광역시 해운대구 좌동순환로 247, 2층, 6-9층 (좌동)",051-702-7994
16,의료법인 한세의료재단 한세병원,병원,"부산광역시 해운대구 세실로 31, 대승프라임 6층 (좌동)",051-702-6000
17,해운대성심요양병원,요양병원(일반요양병원),"부산광역시 해운대구 좌동순환로 462, 지하1층-지상7층 (중동, 성심병원)",051-743-5555
18,엘리움병원,병원,"부산광역시 해운대구 해운대로 794, 7~8층 (좌동, 삼정엘리움)",051-791-1006
19,해운대자생한방병원,한방병원,"부산광역시 해운대구 해운대로 793, 해운대자생한방병원 (좌동)",051-791-5101
20,김&정해운대병원,병원,"부산광역시 해운대구 좌동로 88, 8층 (좌동, 울트라타워)",051-702-7017
21,해운대나눔과행복병원,병원,"부산광역시 해운대구 좌동순환로 502, 1층일부, 3~9층 (중동)",051-744-0123
22,인제대학교 해운대백병원,종합병원,부산광역시 해운대구 해운대로 875 (좌동),051-797-0100
23,의료법인에벤에셀의료재단 아름다운요양병원,요양병원(일반요양병원),부산광역시 해운대구 해운대로61번길 47 (재송동),051-782-7400
24,새생명요양병원,요양병원(일반요양병원),"부산광역시 해운대구 해운대로 802, 10층 (좌동)",051-704-8661
25,의료재단 로뎀요양병원,요양병원(일반요양병원),부산광역시 해운대구 아랫반송로1번길 27-3 (반송동),051-544-8899
26,의료법인화인의료재단센텀화인요양병원,요양병원(일반요양병원),부산광역시 해운대구 해운대로76번길 12 (재송동),051-784-7297
27,바른길병원,병원,부산광역시 해운대구 선수촌로 144 (반여동),051-525-0058
28,의료법인 한세의료재단 효은요양병원,요양병원(일반요양병원),부산광역시 해운대구 달맞이길117번나길 24 (중동),051-746-8787
29,효성시티병원,병원,부산광역시 해운대구 해운대로 135 (재송동),051-709-3000
30,다시봄요양병원,요양병원(일반요양병원),"부산광역시 해운대구 해운대로 604, 명성빌딩 5~10층 (우동)",051-741-5668
31,미소요양병원,요양병원(일반요양병원),부산광역시 해운대구 아랫반송로6번길 37 (반송동),051-543-9100
32,달맞이요양병원,요양병원(일반요양병원),부산광역시 해운대구 달맞이길117번나길 30 (중동),051-744-5275
33,제일여성병원,병원,부산광역시 해운대구 좌동로 66 (중동),051-743-7431
34,의료법인인본의료재단해운대자명병원,정신병원,부산광역시 해운대구 해운대로469번가길 75 (우동),051-780-5566
